#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-70.0,24,6.688902
-30.0,20,6.691679
-55.0,42,6.6974
-150.0,19,6.700173
-25.0,9,6.701486
-30.0,29,6.705568
5.0,6,6.706443
0.0,11,6.707975
-280.0,56,6.715674
0.0,8,6.716826
-10.0,33,6.721389
20.0,6,6.722332
-90.0,10,6.723765
-75.0,7,6.724763
10.0,10,6.726173
-185.0,94,6.738917
-90.0,10,6.740287
-75.0,4,6.740844
-515.0,126,6.757239
-85.0,8,6.758316
-15.0,26,6.761809
0.0,11,6.763315
35.0,9,6.764547
10.0,7,6.765514
-30.0,20,6.768245
10.0,10,6.769608
15.0,8,6.770707
-215.0,51,6.777409
0.0,23,6.780451
-45.0,29,6.784297
-30.0,26,6.787731
25.0,10,6.789082
-90.0,7,6.79015
-175.0,35,6.794847
20.0,15,6.796883
-125.0,18,6.799279
-65.0,40,6.804667
-100.0,8,6.805754
-195.0,34,6.810258
-25.0,15,6.812342
-105.0,56,7.077892
-100.0,8,7.079081
-185.0,45,7.08551
-60.0,41,7.091053
10.0,7,7.092042
5.0,6,7.092886
15.0,5,7.093599
-155.0,18,7.096121
-55.0,30,7.100688
-155.0,24,7.106087
-95.0,49,7.113963
10.0,13,7.115799
-200.0,36,7.12071
-15.0,14,7.122634
-5.0,28,7.12659
-65.0,37,7.131744
-95.0,12,7.133413
0.0,11,7.13495
-235.0,47,7.141457
-10.0,9,7.142711
-80.0,6,7.143548
-200.0,45,7.14952
-160.0,81,7.160714
-90.0,7,7.161719
5.0,9,7.163011
10.0,7,7.164009
0.0,11,7.165541
-75.0,4,7.166119
-95.0,6,7.166956
-95.0,31,7.171168
0.0,14,7.173094
-165.0,19,7.175893
-75.0,38,7.181245
-90.0,10,7.182628
-95.0,6,7.183477
45.0,14,7.18567
-35.0,19,7.188443
-85.0,5,7.189157
-35.0,22,7.192166
140.0,10,7.193568
-110.0,18,7.19604
-125.0,12,7.197691
5.0,6,7.198535
-80.0,40,7.203926
-85.0,8,7.205033
-135.0,13,7.206958
5.0,6,7.207945
-15.0,14,7.209958
-85.0,5,7.210688
-100.0,11,7.212244
-125.0,21,7.215178
5.0,12,7.216839
-105.0,16,7.219128
-65.0,40,7.224505
-130.0,23,7.227604
0.0,11,7.229205
-100.0,11,7.230728
-15.0,11,7.232246
-10.0,12,7.233905
20.0,12,7.235551
-90.0,10,7.236926
-10.0,15,7.238981
-105.0,10,7.240356
-90.0,7,7.241467
-20.0,19,7.244217
